County,Per Capita Income,Median HH Income,Median Family Income,Population,HHs
Rockingham,48675,93962,113827,314176,125787
Carroll,42085,66932,79380,50107,22667
Hillsborough,42081,82099,103238,422937,167875
Grafton,39669,67476,85856,91118,37683
Merrimack,38213,77937,95270,153808,60420
Belknap,37766,67328,86571,63705,27027
Strafford,36659,72682,92642,130889,51454
Cheshire,34242,64686,83400,76458,31372
Sullivan,33207,63760,80710,43063,18164
Coos,28442,48945,65142,31268,13908
